YEAR,REGION,GENDER,AGE_GROUP,STUDENT_COUNT,POPULATION,STUDENTS_PER_100K
2022,Auvergne-Rhône-Alpes,F,20-24 ans,,228531,
2022,Auvergne-Rhône-Alpes,F,25-29 ans,4,227869,180
2022,Auvergne-Rhône-Alpes,F,30-34 ans,9,252973,360
2022,Auvergne-Rhône-Alpes,F,35-39 ans,6,265304,230
2022,Auvergne-Rhône-Alpes,F,40-44 ans,5,263561,190
2022,Auvergne-Rhône-Alpes,F,45-49 ans,3,261130,110
2022,Auvergne-Rhône-Alpes,F,50-54 ans,2,271085,70
2022,Auvergne-Rhône-Alpes,F,55-59 ans,1,266994,40
2022,Auvergne-Rhône-Alpes,F,60 ans ou plus,1,1201312,10
2022,Auvergne-Rhône-Alpes,M,20-24 ans,1,239255,40
2022,Auvergne-Rhône-Alpes,M,25-29 ans,8,229782,350
2022,Auvergne-Rhône-Alpes,M,30-34 ans,15,247295,610
2022,Auvergne-Rhône-Alpes,M,35-39 ans,16,254980,630
2022,Auvergne-Rhône-Alpes,M,40-44 ans,7,255076,270
2022,Auvergne-Rhône-Alpes,M,45-49 ans,10,261532,380
2022,Auvergne-Rhône-Alpes,M,50-54 ans,3,267934,110
2022,Auvergne-Rhône-Alpes,M,55-59 ans,4,260661,150
2022,Auvergne-Rhône-Alpes,M,60 ans ou plus,2,963910,20
2022,Auvergne-Rhône-Alpes,Non renseigne,25-29 ans,11,457651,240
2022,Auvergne-Rhône-Alpes,Non renseigne,30-34 ans,23,500268,460
2022,Auvergne-Rhône-Alpes,Non renseigne,35-39 ans,12,520284,230
2022,Auvergne-Rhône-Alpes,Non renseigne,40-44 ans,14,518637,270
2022,Auvergne-Rhône-Alpes,Non renseigne,45-49 ans,6,522662,110
2022,Auvergne-Rhône-Alpes,Non renseigne,50-54 ans,6,539019,110
2022,Auvergne-Rhône-Alpes,Non renseigne,55-59 ans,1,527655,20
2022,Auvergne-Rhône-Alpes,Non renseigne,60 ans ou plus,1,2165222,0
2022,Auvergne-Rhône-Alpes,Total,20-24 ans,1,467786,20
2022,Auvergne-Rhône-Alpes,Total,25-29 ans,23,457651,500
2022,Auvergne-Rhône-Alpes,Total,30-34 ans,47,500268,940
2022,Auvergne-Rhône-Alpes,Total,35-39 ans,34,520284,650
2022,Auvergne-Rhône-Alpes,Total,40-44 ans,26,518637,500
2022,Auvergne-Rhône-Alpes,Total,45-49 ans,19,522662,360
2022,Auvergne-Rhône-Alpes,Total,50-54 ans,11,539019,200
2022,Auvergne-Rhône-Alpes,Total,55-59 ans,6,527655,110
2022,Auvergne-Rhône-Alpes,Total,60 ans ou plus,4,2165222,20
2022,Bourgogne-Franche-Comté,F,20-24 ans,,69439,
2022,Bourgogne-Franche-Comté,F,25-29 ans,2,68487,290
2022,Bourgogne-Franche-Comté,F,30-34 ans,1,76666,130
2022,Bourgogne-Franche-Comté,F,35-39 ans,1,81864,120
2022,Bourgogne-Franche-Comté,F,40-44 ans,1,83548,120
2022,Bourgogne-Franche-Comté,F,45-49 ans,,87123,
2022,Bourgogne-Franche-Comté,F,50-54 ans,,94518,
2022,Bourgogne-Franche-Comté,F,55-59 ans,,95896,
2022,Bourgogne-Franche-Comté,F,60 ans ou plus,,474884,
2022,Bourgogne-Franche-Comté,M,20-24 ans,,77847,
2022,Bourgogne-Franche-Comté,M,25-29 ans,4,71275,560
2022,Bourgogne-Franche-Comté,M,30-34 ans,6,76158,790
2022,Bourgogne-Franche-Comté,M,35-39 ans,,80583,
2022,Bourgogne-Franche-Comté,M,40-44 ans,,82106,
2022,Bourgogne-Franche-Comté,M,45-49 ans,2,86369,230
2022,Bourgogne-Franche-Comté,M,50-54 ans,3,93561,320
2022,Bourgogne-Franche-Comté,M,55-59 ans,,93211,
2022,Bourgogne-Franche-Comté,M,60 ans ou plus,,384913,
2022,Bourgogne-Franche-Comté,Non renseigne,30-34 ans,4,152824,260
2022,Bourgogne-Franche-Comté,Non renseigne,35-39 ans,3,162447,180
2022,Bourgogne-Franche-Comté,Total,20-24 ans,,147286,
2022,Bourgogne-Franche-Comté,Total,25-29 ans,6,139762,430
2022,Bourgogne-Franche-Comté,Total,30-34 ans,11,152824,720
2022,Bourgogne-Franche-Comté,Total,35-39 ans,4,162447,250
2022,Bourgogne-Franche-Comté,Total,40-44 ans,1,165654,60
2022,Bourgogne-Franche-Comté,Total,45-49 ans,2,173492,120
2022,Bourgogne-Franche-Comté,Total,50-54 ans,3,188079,160
2022,Bourgogne-Franche-Comté,Total,55-59 ans,,189107,
2022,Bourgogne-Franche-Comté,Total,60 ans ou plus,,859797,
2022,Bretagne,F,20-24 ans,,88059,
2022,Bretagne,F,25-29 ans,1,83474,120
2022,Bretagne,F,30-34 ans,4,92960,430
2022,Bretagne,F,35-39 ans,1,100341,100
2022,Bretagne,F,40-44 ans,,104997,
2022,Bretagne,F,45-49 ans,1,108917,90
2022,Bretagne,F,50-54 ans,,114041,
2022,Bretagne,F,55-59 ans,,114499,
2022,Bretagne,F,60 ans ou plus,,572569,
2022,Bretagne,M,20-24 ans,1,97043,100
2022,Bretagne,M,25-29 ans,2,86968,230
2022,Bretagne,M,30-34 ans,5,93119,540
2022,Bretagne,M,35-39 ans,3,98865,300
2022,Bretagne,M,40-44 ans,4,103643,390
2022,Bretagne,M,45-49 ans,4,110035,360
2022,Bretagne,M,50-54 ans,,113178,
2022,Bretagne,M,55-59 ans,,111645,
2022,Bretagne,M,60 ans ou plus,1,453105,20
2022,Bretagne,Non renseigne,25-29 ans,3,170442,180
2022,Bretagne,Non renseigne,30-34 ans,5,186079,270
2022,Bretagne,Non renseigne,35-39 ans,3,199206,150
2022,Bretagne,Non renseigne,40-44 ans,3,208640,140
2022,Bretagne,Non renseigne,45-49 ans,3,218952,140
2022,Bretagne,Non renseigne,50-54 ans,1,227219,40
2022,Bretagne,Non renseigne,60 ans ou plus,1,1025674,10
2022,Bretagne,Total,20-24 ans,1,185102,50
2022,Bretagne,Total,25-29 ans,6,170442,350
2022,Bretagne,Total,30-34 ans,14,186079,750
2022,Bretagne,Total,35-39 ans,7,199206,350
2022,Bretagne,Total,40-44 ans,7,208640,340
2022,Bretagne,Total,45-49 ans,8,218952,370
2022,Bretagne,Total,50-54 ans,1,227219,40
2022,Bretagne,Total,55-59 ans,,226144,
2022,Bretagne,Total,60 ans ou plus,2,1025674,20
2022,Centre-Val de Loire,F,20-24 ans,,63649,
2022,Centre-Val de Loire,F,25-29 ans,,62933,
2022,Centre-Val de Loire,F,30-34 ans,4,72900,550
2022,Centre-Val de Loire,F,35-39 ans,,76920,
2022,Centre-Val de Loire,F,40-44 ans,,77852,
2022,Centre-Val de Loire,F,45-49 ans,,82218,
2022,Centre-Val de Loire,F,50-54 ans,,88106,
2022,Centre-Val de Loire,F,55-59 ans,,87537,
2022,Centre-Val de Loire,F,60 ans ou plus,,426427,
2022,Centre-Val de Loire,M,20-24 ans,2,68680,290
2022,Centre-Val de Loire,M,25-29 ans,1,63579,160
2022,Centre-Val de Loire,M,30-34 ans,3,70117,430
2022,Centre-Val de Loire,M,35-39 ans,7,73397,950
2022,Centre-Val de Loire,M,40-44 ans,5,75290,660
2022,Centre-Val de Loire,M,45-49 ans,1,80214,120
2022,Centre-Val de Loire,M,50-54 ans,,85959,
2022,Centre-Val de Loire,M,55-59 ans,,84364,
2022,Centre-Val de Loire,M,60 ans ou plus,,344445,
2022,Centre-Val de Loire,Non renseigne,25-29 ans,2,126512,160
2022,Centre-Val de Loire,Non renseigne,30-34 ans,5,143017,350
2022,Centre-Val de Loire,Non renseigne,35-39 ans,5,150317,330
2022,Centre-Val de Loire,Non renseigne,60 ans ou plus,1,770872,10
2022,Centre-Val de Loire,Total,20-24 ans,2,132329,150
2022,Centre-Val de Loire,Total,25-29 ans,3,126512,240
2022,Centre-Val de Loire,Total,30-34 ans,12,143017,840
2022,Centre-Val de Loire,Total,35-39 ans,12,150317,800
2022,Centre-Val de Loire,Total,40-44 ans,5,153142,330
2022,Centre-Val de Loire,Total,45-49 ans,1,162432,60
2022,Centre-Val de Loire,Total,50-54 ans,,174065,
2022,Centre-Val de Loire,Total,55-59 ans,,171901,
2022,Centre-Val de Loire,Total,60 ans ou plus,1,770872,10
2022,Corse,F,20-24 ans,,7707,
2022,Corse,F,25-29 ans,,9075,
2022,Corse,F,30-34 ans,,10719,
2022,Corse,F,35-39 ans,,11588,
2022,Corse,F,40-44 ans,,11895,
2022,Corse,F,45-49 ans,,12028,
2022,Corse,F,50-54 ans,,12260,
2022,Corse,F,55-59 ans,,12194,
2022,Corse,F,60 ans ou plus,,59061,
2022,Corse,M,20-24 ans,,8131,
2022,Corse,M,25-29 ans,,8350,
2022,Corse,M,30-34 ans,,10433,
2022,Corse,M,35-39 ans,,10373,
2022,Corse,M,40-44 ans,,11411,
2022,Corse,M,45-49 ans,,11263,
2022,Corse,M,50-54 ans,,12318,
2022,Corse,M,55-59 ans,,11579,
2022,Corse,M,60 ans ou plus,,50349,
2022,Corse,Total,20-24 ans,,15838,
2022,Corse,Total,25-29 ans,,17425,
2022,Corse,Total,30-34 ans,,21152,
2022,Corse,Total,35-39 ans,,21961,
2022,Corse,Total,40-44 ans,,23306,
2022,Corse,Total,45-49 ans,,23291,
2022,Corse,Total,50-54 ans,,24578,
2022,Corse,Total,55-59 ans,,23773,
2022,Corse,Total,60 ans ou plus,,109410,
2022,DROM,F,20-24 ans,,64510,
2022,DROM,F,25-29 ans,,65404,
2022,DROM,F,30-34 ans,,73032,
2022,DROM,F,35-39 ans,,74491,
2022,DROM,F,40-44 ans,2,72658,280
2022,DROM,F,45-49 ans,1,73821,140
2022,DROM,F,50-54 ans,,77630,
2022,DROM,F,55-59 ans,,77813,
2022,DROM,F,60 ans ou plus,,242969,
2022,DROM,M,20-24 ans,,61007,
2022,DROM,M,25-29 ans,,52227,
2022,DROM,M,30-34 ans,3,56809,530
2022,DROM,M,35-39 ans,1,58086,170
2022,DROM,M,40-44 ans,1,58307,170
2022,DROM,M,45-49 ans,2,63017,320
2022,DROM,M,50-54 ans,2,68280,290
2022,DROM,M,55-59 ans,,70332,
2022,DROM,M,60 ans ou plus,,201324,
2022,DROM,Non renseigne,30-34 ans,1,129841,80
2022,DROM,Non renseigne,40-44 ans,1,130965,80
2022,DROM,Total,20-24 ans,,125517,
2022,DROM,Total,25-29 ans,,117631,
2022,DROM,Total,30-34 ans,4,129841,310
2022,DROM,Total,35-39 ans,1,132577,80
2022,DROM,Total,40-44 ans,4,130965,310
2022,DROM,Total,45-49 ans,3,136838,220
2022,DROM,Total,50-54 ans,2,145910,140
2022,DROM,Total,55-59 ans,,148145,
2022,DROM,Total,60 ans ou plus,,444293,
2022,Grand Est,F,20-24 ans,,153260,
2022,Grand Est,F,25-29 ans,2,151462,130
2022,Grand Est,F,30-34 ans,4,168006,240
2022,Grand Est,F,35-39 ans,3,175546,170
2022,Grand Est,F,40-44 ans,2,173190,120
2022,Grand Est,F,45-49 ans,1,175778,60
2022,Grand Est,F,50-54 ans,,187809,
2022,Grand Est,F,55-59 ans,1,193756,50
2022,Grand Est,F,60 ans ou plus,,856514,
2022,Grand Est,M,20-24 ans,2,165884,120
2022,Grand Est,M,25-29 ans,6,156316,380
2022,Grand Est,M,30-34 ans,10,166340,600
2022,Grand Est,M,35-39 ans,10,170597,590
2022,Grand Est,M,40-44 ans,8,170271,470
2022,Grand Est,M,45-49 ans,2,174486,110
2022,Grand Est,M,50-54 ans,1,185608,50
2022,Grand Est,M,55-59 ans,3,187667,160
2022,Grand Est,M,60 ans ou plus,1,691444,10
2022,Grand Est,Non renseigne,25-29 ans,7,307778,230
2022,Grand Est,Non renseigne,30-34 ans,11,334346,330
2022,Grand Est,Non renseigne,35-39 ans,9,346143,260
2022,Grand Est,Non renseigne,40-44 ans,6,343461,170
2022,Grand Est,Non renseigne,45-49 ans,2,350264,60
2022,Grand Est,Non renseigne,50-54 ans,2,373417,50
2022,Grand Est,Non renseigne,55-59 ans,2,381423,50
2022,Grand Est,Total,20-24 ans,2,319144,60
2022,Grand Est,Total,25-29 ans,15,307778,490
2022,Grand Est,Total,30-34 ans,25,334346,750
2022,Grand Est,Total,35-39 ans,22,346143,640
2022,Grand Est,Total,40-44 ans,16,343461,470
2022,Grand Est,Total,45-49 ans,5,350264,140
2022,Grand Est,Total,50-54 ans,3,373417,80
2022,Grand Est,Total,55-59 ans,6,381423,160
2022,Grand Est,Total,60 ans ou plus,1,1547958,10
2022,Hauts-de-France,F,20-24 ans,,180743,
2022,Hauts-de-France,F,25-29 ans,1,167340,60
2022,Hauts-de-France,F,30-34 ans,7,184679,380
2022,Hauts-de-France,F,35-39 ans,12,194611,620
2022,Hauts-de-France,F,40-44 ans,4,190967,210
2022,Hauts-de-France,F,45-49 ans,,192319,
2022,Hauts-de-France,F,50-54 ans,2,194384,100
2022,Hauts-de-France,F,55-59 ans,,194380,
2022,Hauts-de-France,F,60 ans ou plus,,853289,
2022,Hauts-de-France,M,20-24 ans,1,186248,50
2022,Hauts-de-France,M,25-29 ans,2,167168,120
2022,Hauts-de-France,M,30-34 ans,17,179837,950
2022,Hauts-de-France,M,35-39 ans,5,188234,270
2022,Hauts-de-France,M,40-44 ans,7,186844,370
2022,Hauts-de-France,M,45-49 ans,4,190618,210
2022,Hauts-de-France,M,50-54 ans,6,191932,310
2022,Hauts-de-France,M,55-59 ans,1,186952,50
2022,Hauts-de-France,M,60 ans ou plus,2,658155,30
2022,Hauts-de-France,Non renseigne,20-24 ans,1,366991,30
2022,Hauts-de-France,Non renseigne,25-29 ans,8,334508,240
2022,Hauts-de-France,Non renseigne,30-34 ans,10,364516,270
2022,Hauts-de-France,Non renseigne,35-39 ans,5,382845,130
2022,Hauts-de-France,Non renseigne,40-44 ans,8,377811,210
2022,Hauts-de-France,Non renseigne,45-49 ans,4,382937,100
2022,Hauts-de-France,Non renseigne,50-54 ans,4,386316,100
2022,Hauts-de-France,Non renseigne,55-59 ans,2,381332,50
2022,Hauts-de-France,Total,20-24 ans,2,366991,50
2022,Hauts-de-France,Total,25-29 ans,11,334508,330
2022,Hauts-de-France,Total,30-34 ans,34,364516,930
2022,Hauts-de-France,Total,35-39 ans,22,382845,570
2022,Hauts-de-France,Total,40-44 ans,19,377811,500
2022,Hauts-de-France,Total,45-49 ans,8,382937,210
2022,Hauts-de-France,Total,50-54 ans,12,386316,310
2022,Hauts-de-France,Total,55-59 ans,3,381332,80
2022,Hauts-de-France,Total,60 ans ou plus,2,1511444,10
2022,Normandie,F,20-24 ans,,88936,
2022,Normandie,F,25-29 ans,,85394,
2022,Normandie,F,30-34 ans,,95173,
2022,Normandie,F,35-39 ans,1,101931,100
2022,Normandie,F,40-44 ans,,100250,
2022,Normandie,F,45-49 ans,1,104152,100
2022,Normandie,F,50-54 ans,1,110009,90
2022,Normandie,F,55-59 ans,1,112927,90
2022,Normandie,F,60 ans ou plus,,545498,
2022,Normandie,M,20-24 ans,,94648,
2022,Normandie,M,25-29 ans,5,86310,580
2022,Normandie,M,30-34 ans,6,93536,640
2022,Normandie,M,35-39 ans,3,98057,310
2022,Normandie,M,40-44 ans,3,98210,310
2022,Normandie,M,45-49 ans,1,101654,100
2022,Normandie,M,50-54 ans,,107430,
2022,Normandie,M,55-59 ans,,107398,
2022,Normandie,M,60 ans ou plus,,429398,
2022,Normandie,Non renseigne,25-29 ans,4,171704,230
2022,Normandie,Non renseigne,30-34 ans,5,188709,260
2022,Normandie,Non renseigne,35-39 ans,3,199988,150
2022,Normandie,Non renseigne,40-44 ans,1,198460,50
2022,Normandie,Total,20-24 ans,,183584,
2022,Normandie,Total,25-29 ans,9,171704,520
2022,Normandie,Total,30-34 ans,11,188709,580
2022,Normandie,Total,35-39 ans,7,199988,350
2022,Normandie,Total,40-44 ans,4,198460,200
2022,Normandie,Total,45-49 ans,2,205806,100
2022,Normandie,Total,50-54 ans,1,217439,50
2022,Normandie,Total,55-59 ans,1,220325,50
2022,Normandie,Total,60 ans ou plus,,974896,
2022,Nouvelle-Aquitaine,F,20-24 ans,,153766,
2022,Nouvelle-Aquitaine,F,25-29 ans,1,150191,70
2022,Nouvelle-Aquitaine,F,30-34 ans,1,169765,60
2022,Nouvelle-Aquitaine,F,35-39 ans,3,180859,170
2022,Nouvelle-Aquitaine,F,40-44 ans,7,189218,370
2022,Nouvelle-Aquitaine,F,45-49 ans,4,198248,200
2022,Nouvelle-Aquitaine,F,50-54 ans,2,209507,100
2022,Nouvelle-Aquitaine,F,55-59 ans,1,213254,50
2022,Nouvelle-Aquitaine,F,60 ans ou plus,,1071718,
2022,Nouvelle-Aquitaine,M,20-24 ans,,164944,
2022,Nouvelle-Aquitaine,M,25-29 ans,9,150388,600
2022,Nouvelle-Aquitaine,M,30-34 ans,16,164607,970
2022,Nouvelle-Aquitaine,M,35-39 ans,11,173221,640
2022,Nouvelle-Aquitaine,M,40-44 ans,7,182141,380
2022,Nouvelle-Aquitaine,M,45-49 ans,5,192658,260
2022,Nouvelle-Aquitaine,M,50-54 ans,3,201275,150
2022,Nouvelle-Aquitaine,M,55-59 ans,1,201205,50
2022,Nouvelle-Aquitaine,M,60 ans ou plus,1,855814,10
2022,Nouvelle-Aquitaine,Non renseigne,20-24 ans,1,318710,30
2022,Nouvelle-Aquitaine,Non renseigne,25-29 ans,10,300579,330
2022,Nouvelle-Aquitaine,Non renseigne,30-34 ans,8,334372,240
2022,Nouvelle-Aquitaine,Non renseigne,35-39 ans,5,354080,140
2022,Nouvelle-Aquitaine,Non renseigne,40-44 ans,7,371359,190
2022,Nouvelle-Aquitaine,Non renseigne,45-49 ans,6,390906,150
2022,Nouvelle-Aquitaine,Non renseigne,50-54 ans,5,410782,120
2022,Nouvelle-Aquitaine,Non renseigne,55-59 ans,1,414459,20
2022,Nouvelle-Aquitaine,Non renseigne,60 ans ou plus,2,1927532,10
2022,Nouvelle-Aquitaine,Total,20-24 ans,1,318710,30
2022,Nouvelle-Aquitaine,Total,25-29 ans,20,300579,670
2022,Nouvelle-Aquitaine,Total,30-34 ans,25,334372,750
2022,Nouvelle-Aquitaine,Total,35-39 ans,19,354080,540
2022,Nouvelle-Aquitaine,Total,40-44 ans,21,371359,570
2022,Nouvelle-Aquitaine,Total,45-49 ans,15,390906,380
2022,Nouvelle-Aquitaine,Total,50-54 ans,10,410782,240
2022,Nouvelle-Aquitaine,Total,55-59 ans,3,414459,70
2022,Nouvelle-Aquitaine,Total,60 ans ou plus,3,1927532,20
2022,Occitanie,F,20-24 ans,,165787,
2022,Occitanie,F,25-29 ans,1,159618,60
2022,Occitanie,F,30-34 ans,5,176199,280
2022,Occitanie,F,35-39 ans,3,184360,160
2022,Occitanie,F,40-44 ans,5,190696,260
2022,Occitanie,F,45-49 ans,1,192843,50
2022,Occitanie,F,50-54 ans,1,205697,50
2022,Occitanie,F,55-59 ans,2,208809,100
2022,Occitanie,F,60 ans ou plus,,1002662,
2022,Occitanie,M,20-24 ans,2,173775,120
2022,Occitanie,M,25-29 ans,10,161274,620
2022,Occitanie,M,30-34 ans,14,169648,830
2022,Occitanie,M,35-39 ans,12,175287,680
2022,Occitanie,M,40-44 ans,6,182583,330
2022,Occitanie,M,45-49 ans,3,185979,160
2022,Occitanie,M,50-54 ans,,197135,
2022,Occitanie,M,55-59 ans,2,196716,100
2022,Occitanie,M,60 ans ou plus,1,812218,10
2022,Occitanie,Non renseigne,25-29 ans,5,320892,160
2022,Occitanie,Non renseigne,30-34 ans,17,345847,490
2022,Occitanie,Non renseigne,35-39 ans,9,359647,250
2022,Occitanie,Non renseigne,40-44 ans,7,373279,190
2022,Occitanie,Non renseigne,45-49 ans,4,378822,110
2022,Occitanie,Non renseigne,50-54 ans,1,402832,20
2022,Occitanie,Non renseigne,55-59 ans,2,405525,50
2022,Occitanie,Non renseigne,60 ans ou plus,2,1814880,10
2022,Occitanie,Total,20-24 ans,2,339562,60
2022,Occitanie,Total,25-29 ans,16,320892,500
2022,Occitanie,Total,30-34 ans,36,345847,1040
2022,Occitanie,Total,35-39 ans,24,359647,670
2022,Occitanie,Total,40-44 ans,18,373279,480
2022,Occitanie,Total,45-49 ans,8,378822,210
2022,Occitanie,Total,50-54 ans,2,402832,50
2022,Occitanie,Total,55-59 ans,6,405525,150
2022,Occitanie,Total,60 ans ou plus,3,1814880,20
2022,Pays de la Loire,F,20-24 ans,,104598,
2022,Pays de la Loire,F,25-29 ans,2,100624,200
2022,Pays de la Loire,F,30-34 ans,1,111621,90
2022,Pays de la Loire,F,35-39 ans,1,119787,80
2022,Pays de la Loire,F,40-44 ans,3,122673,240
2022,Pays de la Loire,F,45-49 ans,2,124709,160
2022,Pays de la Loire,F,50-54 ans,1,125881,80
2022,Pays de la Loire,F,55-59 ans,2,123747,160
2022,Pays de la Loire,F,60 ans ou plus,,597045,
2022,Pays de la Loire,M,20-24 ans,,112221,
2022,Pays de la Loire,M,25-29 ans,4,102069,390
2022,Pays de la Loire,M,30-34 ans,7,111092,630
2022,Pays de la Loire,M,35-39 ans,7,116874,600
2022,Pays de la Loire,M,40-44 ans,,121601,
2022,Pays de la Loire,M,45-49 ans,3,125732,240
2022,Pays de la Loire,M,50-54 ans,2,125268,160
2022,Pays de la Loire,M,55-59 ans,1,120546,80
2022,Pays de la Loire,M,60 ans ou plus,,477931,
2022,Pays de la Loire,Non renseigne,25-29 ans,4,202693,200
2022,Pays de la Loire,Non renseigne,30-34 ans,7,222713,310
2022,Pays de la Loire,Non renseigne,35-39 ans,6,236661,250
2022,Pays de la Loire,Non renseigne,40-44 ans,5,244274,200
2022,Pays de la Loire,Non renseigne,45-49 ans,3,250441,120
2022,Pays de la Loire,Non renseigne,50-54 ans,4,251149,160
2022,Pays de la Loire,Total,20-24 ans,,216819,
2022,Pays de la Loire,Total,25-29 ans,10,202693,490
2022,Pays de la Loire,Total,30-34 ans,15,222713,670
2022,Pays de la Loire,Total,35-39 ans,14,236661,590
2022,Pays de la Loire,Total,40-44 ans,8,244274,330
2022,Pays de la Loire,Total,45-49 ans,8,250441,320
2022,Pays de la Loire,Total,50-54 ans,7,251149,280
2022,Pays de la Loire,Total,55-59 ans,3,244293,120
2022,Pays de la Loire,Total,60 ans ou plus,,1074976,
2022,Provence-Alpes-Côte d'Azur,F,20-24 ans,,133517,
2022,Provence-Alpes-Côte d'Azur,F,25-29 ans,4,133189,300
2022,Provence-Alpes-Côte d'Azur,F,30-34 ans,2,153231,130
2022,Provence-Alpes-Côte d'Azur,F,35-39 ans,1,161490,60
2022,Provence-Alpes-Côte d'Azur,F,40-44 ans,4,163862,240
2022,Provence-Alpes-Côte d'Azur,F,45-49 ans,1,165283,60
2022,Provence-Alpes-Côte d'Azur,F,50-54 ans,1,177411,60
2022,Provence-Alpes-Côte d'Azur,F,55-59 ans,1,183572,50
2022,Provence-Alpes-Côte d'Azur,F,60 ans ou plus,,877683,
2022,Provence-Alpes-Côte d'Azur,M,20-24 ans,,139803,
2022,Provence-Alpes-Côte d'Azur,M,25-29 ans,4,130652,310
2022,Provence-Alpes-Côte d'Azur,M,30-34 ans,17,144254,1180
2022,Provence-Alpes-Côte d'Azur,M,35-39 ans,8,149106,540
2022,Provence-Alpes-Côte d'Azur,M,40-44 ans,6,154003,390
2022,Provence-Alpes-Côte d'Azur,M,45-49 ans,4,157331,250
2022,Provence-Alpes-Côte d'Azur,M,50-54 ans,2,166314,120
2022,Provence-Alpes-Côte d'Azur,M,55-59 ans,2,168350,120
2022,Provence-Alpes-Côte d'Azur,M,60 ans ou plus,2,686518,30
2022,Provence-Alpes-Côte d'Azur,Non renseigne,25-29 ans,8,263841,300
2022,Provence-Alpes-Côte d'Azur,Non renseigne,30-34 ans,11,297485,370
2022,Provence-Alpes-Côte d'Azur,Non renseigne,35-39 ans,6,310596,190
2022,Provence-Alpes-Côte d'Azur,Non renseigne,40-44 ans,8,317865,250
2022,Provence-Alpes-Côte d'Azur,Non renseigne,45-49 ans,4,322614,120
2022,Provence-Alpes-Côte d'Azur,Non renseigne,50-54 ans,2,343725,60
2022,Provence-Alpes-Côte d'Azur,Non renseigne,55-59 ans,1,351922,30
2022,Provence-Alpes-Côte d'Azur,Non renseigne,60 ans ou plus,1,1564201,10
2022,Provence-Alpes-Côte d'Azur,Total,20-24 ans,,273320,
2022,Provence-Alpes-Côte d'Azur,Total,25-29 ans,16,263841,610
2022,Provence-Alpes-Côte d'Azur,Total,30-34 ans,30,297485,1010
2022,Provence-Alpes-Côte d'Azur,Total,35-39 ans,15,310596,480
2022,Provence-Alpes-Côte d'Azur,Total,40-44 ans,18,317865,570
2022,Provence-Alpes-Côte d'Azur,Total,45-49 ans,9,322614,280
2022,Provence-Alpes-Côte d'Azur,Total,50-54 ans,5,343725,150
2022,Provence-Alpes-Côte d'Azur,Total,55-59 ans,4,351922,110
2022,Provence-Alpes-Côte d'Azur,Total,60 ans ou plus,3,1564201,20
2022,Île-de-France,F,20-24 ans,5,422554,120
2022,Île-de-France,F,25-29 ans,12,438011,270
2022,Île-de-France,F,30-34 ans,37,465599,790
